accession	strain	virus	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	genbank_accession_rev	updated	ambiguous_strain_names	notes
OL423662	GO53	zika	2017-02-23	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423662	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423662.1	2021-12-25		
OL423664	GO54	zika	2017-03-08	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423664	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423664.1	2021-12-25		
OL423663	GO56	zika	2018-04-18	South America	Brazil	Goais	Aparecida de Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423663	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423663.1	2021-12-25		
OL423665	GO57	zika	2018-01-26	South America	Brazil	Goais	Aparecida de Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423665	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423665.1	2021-12-25		
OL423667	GO58	zika	2018-03-23	South America	Brazil	Goais	Goiatuba	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423667	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423667.1	2021-12-25		
OL423666	GO59	zika	2018-03-26	South America	Brazil	Goais	Goiatuba	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423666	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423666.1	2021-12-25		
OL423668	GO70	zika	2017-03-17	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423668	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423668.1	2021-12-25		
OL414716	Faranah/18	zika	2018-12-XX	Africa	Guinea	Guinea	Guinea	genbank	genome	Gladysheva et al	https://www.ncbi.nlm.nih.gov/nuccore/OL414716	" unusual strain isolated from human in West Africa,Complete genome sequence of Zika virus"	Unpublished		OL414716.1	2021-11-22	"15555,Faranah/18"	dropped
MT478034	LMM/AG5643	zika	2019-03-27	South America	Brazil	Brazil	Brazil	genbank	genome	Almeida et al	https://www.ncbi.nlm.nih.gov/nuccore/MT478034	Detection of a novel African-lineage-like Zika virus naturally infecting free-living neotropical primates in Southern Brazil	Unpublished		MT478034.1	2021-11-17		dropped
MW123925	ZIKV_IEC_L	zika	2015-XX-XX	South America	Brazil	Brazil	Brazil	genbank	genome	Pour et al	https://www.ncbi.nlm.nih.gov/nuccore/MW123925	Direct Submission	" University of Sao Paulo, Brasil, Sao Paulo, Biomedical Sciences Institute, 1374, Av. Prof. Lineu Prestes,Submitted (16-OCT-2020) Department of Microbiology, Sao Paulo 05508-000"		MW123925.1	2021-10-16	"ZIKV_IEC_L,IEC_L"	
